,Keyword,Score,Chapter,Author
0,arjuna,7.926,1,Google Translator
1,dhratarashtra,5.612,1,Google Translator
2,battle,4.9512,1,Google Translator
3,charioteers,3.3168,1,Google Translator
4,dyasa,2.6628,1,Google Translator
5,pandavas,2.5084,1,Google Translator
6,pandu,2.3576,1,Google Translator
7,sake,1.9592,1,Google Translator
8,bhishma,1.2868,1,Google Translator
9,purujit,1.0952,1,Google Translator
0,arjuna,9.5175,2,Google Translator
1,godhead,4.6395,2,Google Translator
2,immortality,3.553,2,Google Translator
3,fight,3.3665,2,Google Translator
4,mind,2.8635,2,Google Translator
5,steadfast,2.4225,2,Google Translator
6,govinda,1.7575,2,Google Translator
7,equally,1.6045,2,Google Translator
8,bhishma,1.4525,2,Google Translator
9,world,1.45,2,Google Translator
0,sacrifice,2.8491,3,Google Translator
1,arjuna,2.4489,3,Google Translator
2,senses,1.8129,3,Google Translator
3,demigods,1.7016,3,Google Translator
4,living,1.2174,3,Google Translator
5,world,1.1454,3,Google Translator
6,duty,1.1379,3,Google Translator
7,know,1.1124,3,Google Translator
8,shall,1.1121,3,Google Translator
9,renunciation,1.0566,3,Google Translator
0,arjuna,2.7354,4,Google Translator
1,yoga,2.0169,4,Google Translator
2,rituals,1.7592,4,Google Translator
3,godhead,1.6458,4,Google Translator
4,universe,1.1721,4,Google Translator
5,personality,1.1556,4,Google Translator
6,descendant,0.9435,4,Google Translator
7,know,0.9228,4,Google Translator
8,irreligion,0.9147,4,Google Translator
9,devotee,0.7761,4,Google Translator
0,soul,1.3194,5,Google Translator
1,yogi,1.1562,5,Google Translator
2,rituals,1.0586,5,Google Translator
3,attains,1.0408,5,Google Translator
4,transcendental,0.9258,5,Google Translator
5,sinful,0.8868,5,Google Translator
6,yoga,0.8434,5,Google Translator
7,godhead,0.8306,5,Google Translator
8,arjuna,0.7926,5,Google Translator
9,renounced,0.779,5,Google Translator
0,yogi,7.3388,6,Google Translator
1,yoga,6.0908,6,Google Translator
2,godhead,3.7012,6,Google Translator
3,tranquility,2.9348,6,Google Translator
4,devoted,2.8744,6,Google Translator
5,soul,2.244,6,Google Translator
6,control,2.1936,6,Google Translator
7,mind,2.0836,6,Google Translator
8,celibacy,1.866,6,Google Translator
9,oneself,1.5356,6,Google Translator
0,arjuna,1.602,7,Google Translator
1,illusory,1.302,7,Google Translator
2,energy,1.2372,7,Google Translator
3,godhead,1.0798,7,Google Translator
4,universe,1.0652,7,Google Translator
5,demons,1.05,7,Google Translator
6,vedas,0.9026,7,Google Translator
7,living,0.7396,7,Google Translator
8,eternal,0.6436,7,Google Translator
9,entity,0.6414,7,Google Translator
0,mantra,1.738,8,Google Translator
1,arjuna,1.6196,8,Google Translator
2,eternal,1.405,8,Google Translator
3,brahma,1.3048,8,Google Translator
4,souls,1.2758,8,Google Translator
5,godhead,1.1654,8,Google Translator
6,vedas,0.9312,8,Google Translator
7,puranas,0.7674,8,Google Translator
8,remembering,0.5808,8,Google Translator
9,devotional,0.5618,8,Google Translator
0,kunti,2.7447,9,Google Translator
1,devotion,2.6184,9,Google Translator
2,oneness,2.2191,9,Google Translator
3,souls,2.0973,9,Google Translator
4,godhead,2.0427,9,Google Translator
5,beings,1.4886,9,Google Translator
6,knowledge,1.4175,9,Google Translator
7,world,1.0962,9,Google Translator
8,religion,1.08,9,Google Translator
9,kalpa,0.9477,9,Google Translator
0,godhead,2.6649,10,Google Translator
1,universe,2.4579,10,Google Translator
2,arjuna,2.442,10,Google Translator
3,entities,2.2662,10,Google Translator
4,demigods,2.1825,10,Google Translator
5,narada,1.6554,10,Google Translator
6,personality,1.2312,10,Google Translator
7,mysticism,0.9873,10,Google Translator
8,worship,0.9744,10,Google Translator
9,yoga,0.8874,10,Google Translator
0,arjuna,7.3896,11,Google Translator
1,demigods,5.478,11,Google Translator
2,godhead,3.6896,11,Google Translator
3,seen,2.22,11,Google Translator
4,pandavas,2.1952,11,Google Translator
5,spiritual,2.104,11,Google Translator
6,bowed,1.9892,11,Google Translator
7,world,1.7608,11,Google Translator
8,sun,1.7416,11,Google Translator
9,eyes,1.6628,11,Google Translator
0,worship,1.4824,12,Google Translator
1,yogi,1.3094,12,Google Translator
2,devoted,1.2516,12,Google Translator
3,yoga,1.0434,12,Google Translator
4,meditation,1.0282,12,Google Translator
5,arjuna,0.8252,12,Google Translator
6,conscious,0.6396,12,Google Translator
7,unchanging,0.581,12,Google Translator
8,steadfastness,0.5656,12,Google Translator
9,world,0.439,12,Google Translator
0,vedas,2.6154,13,Google Translator
1,godhead,2.3373,13,Google Translator
2,vedic,1.4466,13,Google Translator
3,arjuna,1.404,13,Google Translator
4,mantras,1.2924,13,Google Translator
5,nectar,1.131,13,Google Translator
6,devotion,1.0287,13,Google Translator
7,rishi,0.8973,13,Google Translator
8,knower,0.8964,13,Google Translator
9,intellect,0.7689,13,Google Translator
0,brahman,1.6282,14,Google Translator
1,knowledge,1.3524,14,Google Translator
2,soul,1.208,14,Google Translator
3,darkness,1.0362,14,Google Translator
4,godhead,0.8714,14,Google Translator
5,irreligion,0.7844,14,Google Translator
6,attains,0.7514,14,Google Translator
7,creation,0.7392,14,Google Translator
8,modes,0.6966,14,Google Translator
9,sinless,0.5962,14,Google Translator
0,vedas,1.7496,15,Google Translator
1,godhead,1.5788,15,Google Translator
2,entities,1.2612,15,Google Translator
3,universe,1.2188,15,Google Translator
4,knowledge,1.0428,15,Google Translator
5,body,0.9134,15,Google Translator
6,nourish,0.8264,15,Google Translator
7,eternal,0.6714,15,Google Translator
8,perceive,0.5876,15,Google Translator
9,ancients,0.4842,15,Google Translator
0,lust,0.9608,16,Google Translator
1,demon,0.9304,16,Google Translator
2,shall,0.7886,16,Google Translator
3,rama,0.6034,16,Google Translator
4,pandu,0.5336,16,Google Translator
5,renunciation,0.5312,16,Google Translator
6,godhead,0.529,16,Google Translator
7,truthfulness,0.5098,16,Google Translator
8,pritha,0.5076,16,Google Translator
9,equal,0.4846,16,Google Translator
0,sacrifices,1.9022,17,Google Translator
1,rituals,1.4886,17,Google Translator
2,mantra,1.4338,17,Google Translator
3,demigods,0.9986,17,Google Translator
4,devotion,0.8386,17,Google Translator
5,arjuna,0.818,17,Google Translator
6,violence,0.748,17,Google Translator
7,celibacy,0.7292,17,Google Translator
8,rakshasas,0.7132,17,Google Translator
9,scriptures,0.5586,17,Google Translator
0,arjuna,10.3764,18,Google Translator
1,renunciation,7.0056,18,Google Translator
2,living,5.0796,18,Google Translator
3,described,4.8228,18,Google Translator
4,godhead,4.6542,18,Google Translator
5,senses,3.7662,18,Google Translator
6,renounce,2.7978,18,Google Translator
7,delusion,2.5776,18,Google Translator
8,sacrifices,2.5278,18,Google Translator
9,fear,2.3514,18,Google Translator